transaction_id,account_id,customer_id,transaction_type,amount,currency,counterparty_info,transaction_date,channel,purpose
TXN00000039,ACCT000194,CUST00091,申购,42336.52,CNY,对手方-联软信息有限公司,2026-01-15 17:43:57,手机银行,投资收益
TXN00000040,ACCT000290,CUST00095,赎回,44737.63,CNY,对手方-华泰通安科技有限公司,2025-11-08 07:37:11,柜面,
TXN00000041,ACCT000092,CUST00152,申购,23883.48,CNY,对手方-创亿传媒有限公司,2026-06-09 15:34:47,网银,贷款偿还
TXN00000042,ACCT000031,CUST00166,转账,206629.28,CNY,对手方-彩虹传媒有限公司,2026-06-13 07:07:38,手机银行,
TXN00000043,ACCT000056,CUST00159,赎回,-102229.59,CNY,对手方-晖来计算机网络有限公司,2025-09-17 18:07:14,代销,投资理财
TXN00000044,ACCT000282,CUST00024,赎回,89734.52,USD,,2025-12-20 18:38:06,柜面,工资发放
TXN00000045,ACCT000200,CUST00091,赎回,155121.02,CNY,,2025-12-25 16:28:00,柜面,投资理财
TXN00000046,ACCT000027,CUST00040,申购,52893.79,CNY,对手方-佳禾网络有限公司,2026-05-26 03:32:04,代销,
TXN00000047,ACCT000291,CUST00150,退款,253328.77,CNY,对手方-国讯传媒有限公司,2026-03-18 22:42:30,代销,日常消费
TXN00000048,ACCT000232,CUST00027,分红,15876.38,CNY,对手方-东方峻景科技有限公司,2026-05-23 21:02:12,网银,工资发放
TXN00000049,ACCT000079,CUST00016,申购,223487.07,CNY,对手方-泰麒麟科技有限公司,2026-01-24 03:47:29,网银,费用缴纳
TXN00000050,ACCT000023,CUST00154,申购,85563.63,CNY,对手方-精芯网络有限公司,2025-09-06 13:14:43,ATM,费用缴纳
TXN00000051,ACCT000260,CUST00101,缴费,214131.1,USD,,2025-10-01 22:24:03,网银,贷款偿还
TXN00000052,ACCT000269,CUST00053,缴费,82309.84,CNY,,2025-12-01 21:42:28,手机银行,贷款偿还
TXN00000053,ACCT000257,CUST00124,退款,46233.99,CNY,,2025-11-08 22:36:09,代销,工资发放
TXN00000054,ACCT000211,CUST00163,申购,139050.49,USD,对手方-精芯信息有限公司,2026-05-06 15:23:29,手机银行,日常消费
TXN00000055,ACCT000129,CUST00157,缴费,210630.44,CNY,,2025-10-22 11:09:16,代销,日常消费
TXN00000056,ACCT000038,CUST00018,转账,19968.39,CNY,,2026-01-27 15:16:59,ATM,费用缴纳
TXN00000057,ACCT000223,CUST00104,转账,125086.12,CNY,对手方-浦华众城网络有限公司,2026-02-01 17:20:14,手机银行,日常消费
TXN00000058,ACCT000284,CUST00094,申购,36592.72,CNY,,2025-10-27 07:25:05,手机银行,工资发放
TXN00000059,ACCT000265,CUST00009,退款,3961.05,CNY,,2025-12-16 18:39:54,柜面,费用缴纳
TXN00000060,ACCT000032,CUST00180,申购,32429.47,CNY,,2025-10-15 08:03:34,网银,投资理财
TXN00000061,ACCT000167,CUST00173,退款,217326.74,CNY,,2025-08-15 21:08:37,网银,费用缴纳
TXN00000062,ACCT000227,CUST00068,赎回,89584.87,CNY,对手方-网新恒天科技有限公司,2026-04-14 18:15:52,柜面,日常消费
TXN00000063,ACCT000259,CUST00088,赎回,4998.73,CNY,,2026-05-06 08:51:59,代销,贷款偿还
TXN00000064,ACCT000065,CUST00122,转账,71607.76,CNY,,2026-04-24 05:31:47,手机银行,日常消费
TXN00000065,ACCT000147,CUST00109,申购,200930.69,CNY,对手方-济南亿次元信息有限公司,2026-04-14 00:24:45,代销,日常消费
TXN00000066,ACCT000261,CUST00197,分红,197710.57,CNY,,2026-03-28 15:38:38,手机银行,工资发放
TXN00000067,ACCT000077,CUST00062,赎回,28677.95,USD,对手方-易动力科技有限公司,2026-04-02 13:21:34,手机银行,工资发放
TXN00000068,ACCT000214,CUST00198,赎回,96543.58,CNY,对手方-商软冠联传媒有限公司,2025-07-28 08:09:28,手机银行,投资收益
TXN00000069,ACCT000221,CUST00079,转账,-247566.47,USD,对手方-彩虹传媒有限公司,2025-07-26 01:00:51,柜面,投资理财
TXN00000070,ACCT000239,CUST00183,申购,11111.91,USD,,2026-03-10 20:10:04,ATM,投资收益
TXN00000071,ACCT000113,CUST00032,申购,146927.4,CNY,对手方-华泰通安科技有限公司,2026-03-23 23:09:14,ATM,工资发放
TXN00000072,ACCT000057,CUST00086,赎回,30805.46,CNY,对手方-华成育卓网络有限公司,2025-07-20 02:54:48,柜面,投资理财
TXN00000073,ACCT000087,CUST00032,转账,-59414.41,CNY,,2025-12-11 16:43:15,手机银行,投资收益
TXN00000074,ACCT000209,CUST00054,申购,67508.85,USD,,2025-12-31 01:11:10,柜面,费用缴纳
TXN00000075,ACCT000254,CUST00080,申购,18880.08,HKD,,2026-01-03 18:16:39,手机银行,
TXN00000076,ACCT000022,CUST00187,赎回,129870.43,CNY,,2026-01-29 10:34:22,柜面,费用缴纳
TXN00000077,ACCT000123,CUST00104,申购,76920.1,CNY,对手方-明腾传媒有限公司,2025-11-01 14:53:15,手机银行,投资收益
TXN00000078,ACCT000258,CUST00140,申购,78089.49,CNY,对手方-创汇科技有限公司,2026-02-25 11:23:50,手机银行,工资发放
TXN00000079,ACCT000299,CUST00040,缴费,163817,USD,对手方-维旺明传媒有限公司,2026-05-16 21:16:44,柜面,费用缴纳
TXN00000080,ACCT000205,CUST00047,赎回,109323.15,CNY,对手方-易动力网络有限公司,2026-03-12 16:01:29,手机银行,投资收益
TXN00000081,ACCT000066,CUST00193,转账,114278.77,CNY,对手方-太极信息有限公司,2026-05-08 13:33:29,代销,投资收益
TXN00000082,ACCT000281,CUST00103,缴费,105210.05,CNY,对手方-晖来计算机网络有限公司,2026-01-22 07:13:53,网银,投资收益
TXN00000083,ACCT000024,CUST00080,赎回,151303.63,CNY,,2026-03-03 17:54:04,网银,费用缴纳
TXN00000084,ACCT000116,CUST00010,分红,66356.88,CNY,对手方-富罳网络有限公司,2025-10-03 20:00:04,手机银行,费用缴纳
TXN00000085,ACCT000096,CUST00029,转账,39149.9,CNY,对手方-新格林耐特网络有限公司,2026-05-02 15:24:03,手机银行,费用缴纳
TXN00000086,ACCT000286,CUST00151,申购,40266.37,CNY,,2025-08-14 04:38:46,柜面,贷款偿还
TXN00000087,ACCT000285,CUST00165,转账,87404.72,CNY,,2025-10-30 02:26:18,网银,
TXN00000088,ACCT000083,CUST00060,转账,189100.52,USD,,2025-11-25 07:11:37,手机银行,贷款偿还
TXN00000089,ACCT000077,CUST00062,转账,35467.42,CNY,对手方-鑫博腾飞信息有限公司,2025-09-18 00:08:42,网银,投资收益
TXN00000090,ACCT000207,CUST00044,退款,143639.88,CNY,对手方-黄石金承科技有限公司,2025-12-04 09:20:47,手机银行,投资理财
TXN00000091,ACCT000070,CUST00074,赎回,110527.45,CNY,,2025-09-05 17:33:40,代销,投资理财
TXN00000092,ACCT000127,CUST00075,转账,207491.47,CNY,对手方-同兴万点信息有限公司,2026-01-01 14:03:01,网银,日常消费
TXN00000093,ACCT000185,CUST00107,申购,2986.82,CNY,对手方-华远软件传媒有限公司,2026-04-02 16:41:29,柜面,
TXN00000094,ACCT000004,CUST00175,赎回,85873.99,CNY,,2025-07-28 11:56:34,手机银行,
TXN00000095,ACCT000125,CUST00048,转账,129558.63,CNY,,2026-03-24 15:30:37,手机银行,投资理财
TXN00000096,ACCT000285,CUST00165,转账,193694.23,CNY,对手方-维旺明科技有限公司,2026-04-20 22:41:59,柜面,投资理财
TXN00000097,ACCT000242,CUST00093,申购,101033.2,CNY,对手方-立信电子传媒有限公司,2025-09-17 04:43:52,柜面,费用缴纳
TXN00000098,ACCT000069,CUST00195,赎回,11771.73,USD,对手方-新格林耐特网络有限公司,2026-05-01 14:20:45,网银,费用缴纳
TXN00000099,ACCT000238,CUST00107,赎回,148531.28,CNY,,2025-09-07 09:11:41,手机银行,工资发放
TXN00000100,ACCT000266,CUST00137,赎回,34124.9,CNY,,2025-09-02 01:41:47,网银,贷款偿还
TXN00000101,ACCT000085,CUST00045,申购,179527.63,CNY,对手方-南康传媒有限公司,2026-02-09 22:16:02,网银,贷款偿还
TXN00000102,ACCT000187,CUST00052,缴费,112396.91,CNY,对手方-天益信息有限公司,2026-01-10 10:37:10,手机银行,工资发放
TXN00000103,ACCT000129,CUST00157,申购,88041.04,CNY,对手方-创亿传媒有限公司,2026-02-25 20:57:10,手机银行,投资理财
TXN00000104,ACCT000164,CUST00012,申购,21814.27,CNY,,2025-12-10 13:49:56,代销,日常消费
TXN00000105,ACCT000235,CUST00192,转账,91447.22,CNY,对手方-南康网络有限公司,2026-01-18 23:52:51,柜面,工资发放
TXN00000106,ACCT000235,CUST00192,申购,25819.75,CNY,,2025-08-06 00:27:55,手机银行,
TXN00000107,ACCT000157,CUST00140,缴费,73574.51,CNY,对手方-佳禾网络有限公司,2026-05-25 10:03:34,网银,投资理财
TXN00000108,ACCT000119,CUST00057,申购,-29367.95,CNY,对手方-鑫博腾飞科技有限公司,2026-05-05 11:40:49,手机银行,贷款偿还
TXN00000109,ACCT000261,CUST00197,赎回,-297369.35,CNY,对手方-浦华众城信息有限公司,2026-04-04 10:50:11,网银,费用缴纳
TXN00000110,ACCT000119,CUST00057,赎回,37212.96,CNY,,2026-04-13 07:45:43,手机银行,工资发放
TXN00000111,ACCT000074,CUST00183,申购,-217449.15,CNY,对手方-菊风公司传媒有限公司,2026-02-10 05:22:47,手机银行,费用缴纳
TXN00000112,ACCT000164,CUST00012,申购,87360.38,CNY,对手方-鑫博腾飞信息有限公司,2025-11-25 23:10:24,柜面,投资收益
TXN00000113,ACCT000001,CUST00060,赎回,122245.99,CNY,,2026-06-24 14:24:03,网银,费用缴纳
TXN00000114,ACCT000091,CUST00159,申购,51781.52,CNY,对手方-济南亿次元科技有限公司,2026-05-02 22:54:24,手机银行,
TXN00000115,ACCT000111,CUST00014,申购,301487.75,USD,,2026-06-20 12:19:50,网银,投资理财
TXN00000116,ACCT000102,CUST00003,退款,20601.39,CNY,对手方-新格林耐特科技有限公司,2025-08-28 12:47:38,柜面,投资收益
TXN00000117,ACCT000044,CUST00106,申购,82268.8,CNY,对手方-天益网络有限公司,2026-02-02 15:36:59,网银,投资理财
TXN00000118,ACCT000261,CUST00197,退款,264798.09,CNY,对手方-太极网络有限公司,2026-02-23 03:52:04,手机银行,日常消费
TXN00000119,ACCT000284,CUST00094,分红,31211.16,CNY,,2025-08-11 07:05:54,网银,工资发放
TXN00000120,ACCT000032,CUST00180,申购,24101.44,CNY,对手方-国讯科技有限公司,2025-08-20 22:34:08,手机银行,投资收益
TXN00000121,ACCT000081,CUST00027,转账,113269.3,CNY,对手方-鸿睿思博网络有限公司,2025-11-27 04:47:08,网银,工资发放
TXN00000122,ACCT000182,CUST00006,申购,168093.79,CNY,,2025-07-16 17:14:04,柜面,工资发放
TXN00000123,ACCT000268,CUST00198,申购,152967.78,CNY,对手方-佳禾传媒有限公司,2025-07-30 16:05:29,网银,投资收益
TXN00000124,ACCT000263,CUST00037,申购,36916.49,CNY,,2025-07-20 08:52:17,代销,投资理财
TXN00000125,ACCT000019,CUST00002,缴费,128971.91,CNY,对手方-时空盒数字信息有限公司,2025-12-12 18:30:54,网银,日常消费
TXN00000126,ACCT000224,CUST00172,转账,233321.35,CNY,,2025-07-05 00:50:27,网银,贷款偿还
TXN00000127,ACCT000250,CUST00167,赎回,68164.09,CNY,对手方-黄石金承网络有限公司,2026-06-10 21:38:15,手机银行,日常消费
TXN00000128,ACCT000180,CUST00175,缴费,58636.33,CNY,对手方-盟新网络有限公司,2026-01-03 11:32:22,网银,日常消费
TXN00000129,ACCT000239,CUST00183,申购,262185.7,CNY,,2026-06-02 08:15:12,ATM,日常消费
TXN00000130,ACCT000130,CUST00094,转账,6208.37,CNY,对手方-明腾信息有限公司,2026-06-10 03:38:00,网银,贷款偿还
TXN00000131,ACCT000216,CUST00071,转账,20189.44,CNY,对手方-兰金电子传媒有限公司,2025-11-10 23:05:13,手机银行,日常消费
TXN00000132,ACCT000041,CUST00046,分红,46499.3,CNY,,2026-01-07 07:54:11,手机银行,日常消费
TXN00000133,ACCT000055,CUST00124,转账,80397.42,CNY,,2026-03-25 05:53:08,手机银行,投资理财
TXN00000134,ACCT000157,CUST00140,分红,-17476.03,CNY,,2026-06-10 11:35:16,柜面,投资收益
TXN00000135,ACCT000126,CUST00077,申购,-204649.1,CNY,对手方-双敏电子科技有限公司,2025-10-13 00:48:19,柜面,
TXN00000136,ACCT000096,CUST00029,缴费,92542.56,CNY,,2026-01-02 01:36:34,柜面,日常消费
TXN00000137,ACCT000015,CUST00048,申购,42165.57,CNY,对手方-时空盒数字网络有限公司,2025-07-09 07:09:17,网银,投资收益
TXN00000138,ACCT000113,CUST00032,分红,35285.57,CNY,对手方-济南亿次元网络有限公司,2026-07-01 02:41:45,ATM,费用缴纳
TXN00000139,ACCT000051,CUST00131,赎回,69709.3,CNY,,2025-12-18 08:07:31,代销,
TXN00000140,ACCT000101,CUST00198,缴费,169314.77,CNY,对手方-鸿睿思博信息有限公司,2025-08-28 07:47:00,网银,工资发放
TXN00000141,ACCT000104,CUST00123,申购,39620.28,CNY,对手方-菊风公司传媒有限公司,2025-08-05 10:13:50,柜面,投资收益
TXN00000142,ACCT000098,CUST00160,申购,107195.32,CNY,对手方-盟新科技有限公司,2026-01-22 01:21:01,手机银行,费用缴纳
TXN00000143,ACCT000125,CUST00048,赎回,129191.84,CNY,对手方-天益信息有限公司,2026-01-18 02:23:22,网银,投资理财
TXN00000144,ACCT000186,CUST00016,转账,123074.48,CNY,,2025-12-11 08:20:01,柜面,费用缴纳
TXN00000145,ACCT000156,CUST00034,缴费,56667.27,CNY,对手方-四通传媒有限公司,2026-03-27 04:53:48,网银,
TXN00000146,ACCT000257,CUST00124,赎回,6673.29,CNY,对手方-天开网络有限公司,2026-06-22 17:16:42,手机银行,
TXN00000147,ACCT000105,CUST00159,申购,149565.3,CNY,,2025-07-01 11:10:06,柜面,贷款偿还
TXN00000148,ACCT000047,CUST00047,转账,213188.6,CNY,对手方-海创信息有限公司,2026-06-08 06:59:22,手机银行,投资收益
TXN00000149,ACCT000175,CUST00168,赎回,140784.25,CNY,,2025-09-23 20:46:09,手机银行,日常消费
TXN00000150,ACCT000103,CUST00165,分红,88604.6,USD,,2025-07-04 04:51:22,代销,
TXN00000151,ACCT000142,CUST00018,申购,152823.56,CNY,,2026-06-30 08:14:45,代销,贷款偿还
TXN00000152,ACCT000051,CUST00131,缴费,193927.49,USD,对手方-商软冠联科技有限公司,2025-11-16 16:28:48,网银,投资理财
TXN00000153,ACCT000242,CUST00093,申购,116712.07,CNY,对手方-雨林木风计算机传媒有限公司,2025-08-04 20:08:29,手机银行,日常消费
TXN00000154,ACCT000020,CUST00055,退款,32394.71,CNY,,2026-04-19 12:25:15,手机银行,工资发放
TXN00000155,ACCT000273,CUST00069,缴费,100046.75,CNY,,2026-05-17 02:41:43,手机银行,投资理财
TXN00000156,ACCT000240,CUST00156,申购,12020.33,CNY,对手方-时空盒数字网络有限公司,2026-03-13 22:45:12,网银,工资发放
TXN00000157,ACCT000056,CUST00159,转账,62630.88,HKD,对手方-维旺明网络有限公司,2025-09-09 06:38:23,手机银行,贷款偿还
TXN00000158,ACCT000041,CUST00046,申购,62528.97,CNY,对手方-惠派国际公司传媒有限公司,2025-07-09 12:08:00,手机银行,
TXN00000159,ACCT000070,CUST00074,赎回,153676.59,CNY,对手方-MBP软件传媒有限公司,2025-09-11 05:24:16,手机银行,投资收益
TXN00000160,ACCT000108,CUST00166,缴费,151484.44,CNY,,2026-03-29 18:09:37,柜面,费用缴纳
TXN00000161,ACCT000065,CUST00122,缴费,86234.78,CNY,对手方-新宇龙信息科技有限公司,2026-06-06 08:07:06,网银,贷款偿还
TXN00000162,ACCT000067,CUST00038,赎回,26552.4,CNY,,2025-08-07 07:19:35,手机银行,费用缴纳
TXN00000163,ACCT000270,CUST00072,申购,46262.85,CNY,对手方-七喜网络有限公司,2025-12-19 08:39:30,网银,投资理财
TXN00000164,ACCT000115,CUST00160,缴费,22634.12,CNY,,2026-05-29 23:42:50,代销,投资收益
TXN00000165,ACCT000253,CUST00126,赎回,36336.42,CNY,对手方-立信电子科技有限公司,2025-07-16 00:55:28,手机银行,费用缴纳
TXN00000166,ACCT000292,CUST00001,缴费,118187.55,CNY,对手方-时刻传媒有限公司,2026-01-20 07:47:58,手机银行,投资理财
TXN00000167,ACCT000178,CUST00016,退款,95925.23,USD,对手方-飞海科技科技有限公司,2026-03-21 20:01:25,手机银行,日常消费
TXN00000168,ACCT000025,CUST00188,分红,81808.18,CNY,对手方-万迅电脑网络有限公司,2026-06-18 22:06:43,手机银行,
TXN00000169,ACCT000250,CUST00167,申购,51924.8,CNY,对手方-易动力信息有限公司,2025-12-16 13:23:05,网银,工资发放
TXN00000170,ACCT000103,CUST00165,申购,133059.59,CNY,对手方-创联世纪科技有限公司,2025-07-12 22:19:58,手机银行,投资理财
TXN00000171,ACCT000018,CUST00182,转账,119761.26,CNY,对手方-群英网络有限公司,2026-03-16 19:49:09,手机银行,投资理财
TXN00000172,ACCT000288,CUST00018,转账,18514.18,CNY,,2026-05-23 00:15:18,手机银行,工资发放
TXN00000173,ACCT000047,CUST00047,分红,49580.37,CNY,对手方-数字100信息有限公司,2025-09-19 15:18:30,手机银行,费用缴纳
TXN00000174,ACCT000206,CUST00180,赎回,79921.21,CNY,,2026-02-21 09:32:15,ATM,工资发放
TXN00000175,ACCT000051,CUST00131,缴费,100284.91,CNY,对手方-鸿睿思博信息有限公司,2025-11-25 05:34:23,柜面,费用缴纳
TXN00000176,ACCT000024,CUST00080,赎回,275472.45,CNY,,2026-02-07 13:25:35,手机银行,
TXN00000177,ACCT000217,CUST00077,赎回,162495.67,USD,对手方-精芯传媒有限公司,2026-04-22 20:38:41,柜面,投资理财
TXN00000178,ACCT000212,CUST00007,转账,48738.48,CNY,对手方-新格林耐特传媒有限公司,2025-12-24 16:30:41,手机银行,贷款偿还
TXN00000179,ACCT000243,CUST00130,申购,55449.71,CNY,对手方-华成育卓信息有限公司,2025-10-29 22:54:46,柜面,投资理财
TXN00000180,ACCT000239,CUST00183,缴费,36005.18,CNY,对手方-数字100科技有限公司,2025-11-18 06:46:45,手机银行,日常消费
TXN00000181,ACCT000136,CUST00049,缴费,91158.73,CNY,,2026-05-29 12:00:00,网银,投资理财
TXN00000182,ACCT000096,CUST00029,申购,104528.52,CNY,,2025-09-17 00:20:41,手机银行,日常消费
TXN00000183,ACCT000172,CUST00136,缴费,141173.51,CNY,对手方-明腾传媒有限公司,2025-09-27 13:39:24,柜面,
TXN00000184,ACCT000074,CUST00183,分红,213733.62,CNY,,2025-12-14 01:49:08,手机银行,工资发放
TXN00000185,ACCT000282,CUST00024,赎回,140665.69,CNY,对手方-兰金电子信息有限公司,2025-10-26 07:19:01,ATM,工资发放
TXN00000186,ACCT000014,CUST00121,转账,45344.85,CNY,,2026-06-11 17:09:30,柜面,
TXN00000187,ACCT000280,CUST00094,退款,125523.74,CNY,对手方-巨奥网络有限公司,2026-06-14 09:15:04,网银,投资理财
TXN00000188,ACCT000136,CUST00049,申购,187612.93,CNY,对手方-易动力传媒有限公司,2025-08-05 18:28:33,柜面,贷款偿还
TXN00000189,ACCT000066,CUST00193,申购,88037.51,CNY,对手方-创汇网络有限公司,2026-05-22 12:46:34,手机银行,费用缴纳
TXN00000190,ACCT000285,CUST00165,赎回,116511.06,CNY,对手方-四通传媒有限公司,2026-06-03 00:35:38,ATM,日常消费
TXN00000191,ACCT000158,CUST00050,赎回,2575.96,USD,对手方-富罳网络有限公司,2025-08-10 03:12:11,柜面,费用缴纳
TXN00000192,ACCT000030,CUST00143,分红,93694.13,CNY,对手方-网新恒天科技有限公司,2025-12-03 21:33:59,柜面,工资发放
TXN00000193,ACCT000168,CUST00177,分红,21105.24,CNY,对手方-惠派国际公司信息有限公司,2025-12-31 00:17:32,网银,投资理财
TXN00000194,ACCT000111,CUST00014,申购,35145.31,CNY,对手方-东方峻景信息有限公司,2025-07-17 07:19:13,ATM,贷款偿还
TXN00000195,ACCT000027,CUST00040,申购,92569.87,CNY,对手方-凌颖信息网络有限公司,2026-04-26 22:34:05,代销,日常消费
TXN00000196,ACCT000133,CUST00081,转账,13226.1,CNY,对手方-佳禾传媒有限公司,2025-10-13 05:31:38,柜面,贷款偿还
TXN00000197,ACCT000081,CUST00027,转账,83550.92,CNY,,2026-06-24 08:57:22,手机银行,
TXN00000198,ACCT000151,CUST00121,赎回,170387.31,CNY,,2025-12-14 16:37:47,柜面,工资发放
TXN00000199,ACCT000162,CUST00078,申购,228327.39,CNY,对手方-信诚致远科技有限公司,2026-05-30 00:25:26,代销,日常消费
TXN00000200,ACCT000043,CUST00145,转账,-16254.35,CNY,对手方-通际名联科技有限公司,2026-05-10 01:30:43,柜面,费用缴纳
TXN00000201,ACCT000299,CUST00040,申购,7604.28,CNY,对手方-创亿科技有限公司,2025-08-06 01:07:37,网银,投资理财
TXN00000202,ACCT000114,CUST00025,转账,-72432.23,CNY,,2025-09-02 22:17:03,柜面,费用缴纳
TXN00000203,ACCT000260,CUST00101,缴费,108208.33,CNY,对手方-网新恒天网络有限公司,2026-06-14 17:09:26,网银,工资发放
TXN00000204,ACCT000206,CUST00180,转账,194607.43,CNY,对手方-天开网络有限公司,2026-05-04 00:25:03,手机银行,
TXN00000205,ACCT000088,CUST00043,转账,55686.52,CNY,,2025-11-23 16:32:59,手机银行,贷款偿还
TXN00000206,ACCT000279,CUST00001,赎回,42013.03,USD,,2025-11-02 06:25:30,网银,工资发放
TXN00000207,ACCT000028,CUST00187,申购,9890.08,CNY,对手方-戴硕电子信息有限公司,2025-12-12 04:16:13,手机银行,
TXN00000208,ACCT000038,CUST00018,转账,59118.62,CNY,对手方-盟新传媒有限公司,2025-10-07 00:16:06,手机银行,投资理财
TXN00000209,ACCT000218,CUST00055,申购,2923.74,USD,对手方-太极信息有限公司,2026-02-14 15:10:37,ATM,
TXN00000210,ACCT000271,CUST00009,转账,138367.62,CNY,,2025-10-02 22:35:41,手机银行,贷款偿还
TXN00000211,ACCT000154,CUST00188,赎回,243031.07,CNY,对手方-诺依曼软件科技有限公司,2025-10-19 01:20:23,柜面,工资发放
TXN00000212,ACCT000083,CUST00060,赎回,24691.6,USD,,2026-01-03 22:03:22,手机银行,费用缴纳
TXN00000213,ACCT000204,CUST00145,转账,19155.43,CNY,对手方-襄樊地球村传媒有限公司,2026-01-27 03:55:54,手机银行,工资发放
TXN00000214,ACCT000268,CUST00198,赎回,112694.21,CNY,,2025-10-17 23:13:12,网银,日常消费
TXN00000215,ACCT000129,CUST00157,缴费,142818.14,CNY,对手方-巨奥网络有限公司,2026-04-02 13:06:50,柜面,投资理财
