account_id,customer_id,product_id,account_type,status,balance,currency,open_date,close_date
ACCT000045,CUST00030,PRD0026,活期,正常,798204.41,CNY,2024-03-06,
ACCT000046,CUST00174,PRD0024,理财,正常,-3467710.24,CNY,2023-08-26,
ACCT000047,CUST00047,PRD0028,活期,正常,3929115.83,CNY,2024-06-20,
ACCT000048,CUST00086,PRD0025,活期,正常,1397382.9,CNY,2024-01-10,
ACCT000049,CUST00055,PRD0026,信托,正常,635955.49,CNY,2025-10-12,
ACCT000050,CUST00099,PRD0021,理财,正常,2067935.52,CNY,2024-12-05,
ACCT000051,CUST00131,PRD0009,理财,正常,1687943.35,HKD,2024-04-20,
ACCT000052,CUST00004,PRD0005,基金,正常,-1105295.99,USD,2023-09-04,
ACCT000053,CUST00006,PRD0005,基金,正常,4626660,CNY,2024-10-27,
ACCT000054,CUST00183,PRD0028,活期,正常,1145923.43,CNY,2023-08-10,
ACCT000055,CUST00124,PRD0010,定期,冻结,198288.67,CNY,2026-04-03,
ACCT000056,CUST00159,PRD0016,理财,正常,-1187883.28,CNY,2026-02-26,
ACCT000057,CUST00086,PRD0013,活期,正常,-4293346.54,CNY,2025-11-19,
ACCT000058,CUST00118,PRD0028,基金,正常,4277622.86,CNY,2024-04-29,
ACCT000059,CUST00107,PRD0018,活期,正常,2309441.32,CNY,2025-12-16,
ACCT000060,CUST00187,PRD0014,活期,正常,4918368.32,CNY,2024-10-01,
ACCT000061,CUST00144,PRD0001,信托,正常,3287838.91,CNY,2025-02-27,
ACCT000062,CUST00177,PRD0025,定期,正常,2980744.01,CNY,2025-02-03,
ACCT000063,CUST00070,PRD0003,活期,正常,4039074.63,CNY,2025-07-26,
ACCT000064,CUST00126,PRD0012,理财,正常,4039256.79,CNY,2026-01-07,
ACCT000065,CUST00122,PRD0016,理财,正常,3411694.21,CNY,2026-04-30,
ACCT000066,CUST00193,PRD0027,定期,正常,3193468.72,CNY,2023-09-25,
ACCT000067,CUST00038,PRD0025,理财,正常,3585606.04,CNY,2023-11-14,
ACCT000068,CUST00016,PRD0002,信托,正常,1483387.18,CNY,2023-08-26,
ACCT000069,CUST00195,PRD0010,理财,正常,1301921.31,CNY,2025-09-16,
ACCT000070,CUST00074,PRD0025,基金,正常,1451643.22,CNY,2024-03-24,
ACCT000071,CUST00050,PRD0024,理财,正常,3771099.63,CNY,2025-02-10,
ACCT000072,CUST00030,PRD0024,定期,销户,4021553.98,CNY,2024-10-12,
ACCT000073,CUST00038,PRD0019,理财,正常,1816843.11,CNY,2024-12-13,
ACCT000074,CUST00183,PRD0014,活期,正常,1435842.05,CNY,2025-11-13,
ACCT000075,CUST00062,PRD0013,活期,销户,1794705.23,CNY,2025-06-04,2028-05-27
ACCT000076,CUST00029,PRD0023,理财,正常,4062698.79,CNY,2025-07-29,
ACCT000077,CUST00062,PRD0010,定期,冻结,3787525.68,CNY,2026-04-09,
ACCT000078,CUST00085,PRD0025,信托,正常,4407799.55,CNY,2024-06-27,
ACCT000079,CUST00016,PRD0017,活期,正常,4375114.98,CNY,2025-11-25,
ACCT000080,CUST00162,PRD0009,活期,正常,696291.26,CNY,2025-07-15,
ACCT000081,CUST00027,PRD0018,定期,正常,2356228.56,CNY,2025-01-01,
ACCT000082,CUST00071,PRD0015,信托,正常,1334944.42,CNY,2026-03-07,
ACCT000083,CUST00060,PRD0005,基金,正常,457591.64,CNY,2024-01-13,
ACCT000084,CUST00003,PRD0001,活期,冻结,2476976.38,CNY,2023-08-24,
ACCT000085,CUST00045,PRD0030,定期,正常,412156.97,CNY,2023-08-15,
ACCT000086,CUST00116,PRD0009,信托,正常,3843840.75,CNY,2024-11-08,
ACCT000087,CUST00032,PRD0024,信托,正常,2761112.67,CNY,2025-09-04,
ACCT000088,CUST00043,PRD0016,活期,正常,453519.6,CNY,2025-03-30,2027-12-20
ACCT000089,CUST00062,PRD0002,定期,正常,1095373.95,CNY,2025-07-11,
ACCT000090,CUST00039,PRD0029,活期,冻结,4571244.31,CNY,2024-09-10,
ACCT000091,CUST00159,PRD0020,基金,正常,2350815.26,CNY,2025-04-01,
ACCT000092,CUST00152,PRD0002,定期,正常,431003.97,USD,2024-03-13,
ACCT000093,CUST00156,PRD0007,基金,正常,4750542.64,CNY,2025-05-08,
ACCT000094,CUST00150,PRD0021,理财,正常,3807338.62,USD,2024-02-17,
ACCT000095,CUST00178,PRD0020,定期,正常,4630126.97,CNY,2024-01-17,
ACCT000096,CUST00029,PRD0020,定期,正常,4834847.14,USD,2024-04-16,
ACCT000097,CUST00099,PRD0012,活期,正常,2677359.1,CNY,2023-07-15,
ACCT000098,CUST00160,PRD0008,活期,正常,4702880.27,CNY,2024-10-22,2027-01-28
ACCT000099,CUST00175,PRD0016,理财,正常,4815100.71,CNY,2024-04-06,
ACCT000100,CUST00104,,活期,正常,4201752,CNY,2025-05-04,
ACCT000101,CUST00198,PRD0018,基金,冻结,1530187.79,CNY,2023-07-18,
ACCT000102,CUST00003,PRD0015,定期,冻结,2312508.48,CNY,2025-02-18,
ACCT000103,CUST00165,PRD0014,理财,正常,2391701.47,CNY,2025-09-28,
ACCT000104,CUST00123,PRD0013,理财,正常,2069325.22,CNY,2024-03-13,
ACCT000105,CUST00159,PRD0005,理财,正常,975493.66,CNY,2025-05-18,
ACCT000106,CUST00094,PRD0021,理财,正常,1723812.86,USD,2024-11-30,
ACCT000107,CUST00159,PRD0014,活期,正常,576267.32,USD,2023-08-01,
ACCT000108,CUST00166,PRD0019,理财,正常,1366713.46,CNY,2023-07-02,
ACCT000109,CUST00196,PRD0027,理财,销户,1254171.86,USD,2025-05-10,
ACCT000110,CUST00150,PRD0009,基金,正常,1491534.02,USD,2024-09-22,
ACCT000111,CUST00014,PRD0021,活期,正常,2302477.07,CNY,2024-07-18,
ACCT000112,CUST00124,PRD0023,基金,正常,1209626.86,CNY,2026-01-18,
ACCT000113,CUST00032,PRD0011,基金,正常,2442315.61,CNY,2023-10-19,
ACCT000114,CUST00025,PRD0018,活期,正常,4418229.2,CNY,2024-11-30,
ACCT000115,CUST00160,PRD0013,理财,正常,2883264.7,CNY,2025-10-01,
ACCT000116,CUST00010,PRD0029,理财,正常,2246538.87,CNY,2023-12-23,
ACCT000117,CUST00084,PRD0003,活期,冻结,444902.78,CNY,2024-08-28,2025-09-01
ACCT000118,CUST00059,PRD0010,活期,正常,4266033.46,CNY,2025-11-12,
ACCT000119,CUST00057,,活期,正常,3062082.85,USD,2025-08-17,
ACCT000120,CUST00067,PRD0008,活期,冻结,4715398.37,CNY,2026-06-27,
ACCT000121,CUST00012,PRD0024,定期,正常,838645.85,CNY,2023-08-05,
ACCT000122,CUST00046,PRD0027,活期,销户,1031731.81,CNY,2025-06-19,
ACCT000123,CUST00104,PRD0030,信托,正常,4013573.39,CNY,2024-12-08,
ACCT000124,CUST00145,PRD0012,活期,正常,1932612,CNY,2025-02-02,
ACCT000125,CUST00048,PRD0021,理财,正常,3118741.87,CNY,2024-02-19,
ACCT000126,CUST00077,PRD0016,活期,正常,2247293.94,CNY,2025-10-23,
ACCT000127,CUST00075,PRD0005,定期,销户,4750559.69,CNY,2025-02-06,2026-10-18
ACCT000128,CUST00009,PRD0013,定期,正常,295141.61,CNY,2024-04-29,
ACCT000129,CUST00157,PRD0019,活期,正常,468370.52,CNY,2024-11-20,
ACCT000130,CUST00094,PRD0026,基金,正常,3462789.58,CNY,2024-05-23,
ACCT000131,CUST00024,PRD0005,活期,销户,4107229.13,CNY,2024-11-07,
ACCT000132,CUST00134,PRD0023,信托,正常,4792344.19,CNY,2026-04-19,
ACCT000133,CUST00081,PRD0005,定期,冻结,1708641.46,USD,2025-11-13,
ACCT000134,CUST00198,PRD0028,基金,销户,3430766.47,CNY,2024-08-18,
ACCT000135,CUST00027,PRD0019,活期,正常,1137546.98,CNY,2023-08-17,
ACCT000136,CUST00049,PRD0025,基金,正常,4891347.25,CNY,2025-12-04,
ACCT000137,CUST00030,PRD0012,基金,正常,2292255.55,CNY,2023-10-11,
ACCT000138,CUST00087,PRD0024,活期,冻结,641373,CNY,2024-09-29,
ACCT000139,CUST00083,PRD0005,活期,正常,4930187.62,USD,2024-11-25,
ACCT000140,CUST00160,PRD0019,理财,销户,4803233.85,CNY,2026-03-09,
ACCT000141,CUST00048,PRD0011,信托,正常,2936085.61,CNY,2024-02-18,
ACCT000142,CUST00018,PRD0020,定期,正常,829819.27,CNY,2026-05-13,
ACCT000143,CUST00186,,理财,正常,3151986.48,CNY,2024-10-06,
ACCT000144,CUST00107,PRD0009,基金,正常,2001490.12,CNY,2025-05-11,
ACCT000145,CUST00093,PRD0030,理财,正常,2416055.19,CNY,2025-11-28,
ACCT000146,CUST00015,PRD0021,定期,正常,4119761.19,CNY,2025-09-20,
ACCT000147,CUST00109,PRD0028,基金,正常,1294506.34,CNY,2026-01-18,
ACCT000148,CUST00145,PRD0010,信托,正常,4745687.3,CNY,2024-06-14,
ACCT000149,CUST00021,PRD0021,活期,冻结,4567459.62,CNY,2023-11-16,2025-09-23
ACCT000150,CUST00086,PRD0023,基金,销户,541015.5,USD,2024-03-02,
ACCT000151,CUST00121,,活期,正常,96987.02,CNY,2023-12-21,
ACCT000152,CUST00117,PRD0010,定期,正常,2321933.38,CNY,2025-09-01,
ACCT000153,CUST00080,PRD0018,基金,正常,261210.31,CNY,2024-04-29,
ACCT000154,CUST00188,PRD0028,基金,冻结,3021385.64,CNY,2026-04-22,
ACCT000155,CUST00027,PRD0022,基金,正常,1545461.02,CNY,2023-12-30,
ACCT000156,CUST00034,PRD0006,活期,正常,1843452.77,CNY,2024-03-21,
ACCT000157,CUST00140,PRD0027,活期,正常,238523.68,CNY,2024-08-19,2026-01-19
ACCT000158,CUST00050,PRD0019,定期,正常,3555643.24,CNY,2024-03-31,
ACCT000159,CUST00075,PRD0004,基金,正常,3775191.32,CNY,2023-08-17,
ACCT000160,CUST00052,PRD0026,定期,正常,113855.53,CNY,2024-09-04,2025-11-28
ACCT000161,CUST00118,PRD0022,活期,冻结,4695011.78,CNY,2026-03-18,
ACCT000162,CUST00078,PRD0004,活期,冻结,2092506.13,USD,2026-02-04,
ACCT000163,CUST00182,PRD0028,定期,正常,4714989.34,CNY,2026-01-25,
ACCT000164,CUST00012,PRD0018,定期,销户,1164492.91,CNY,2024-03-16,
ACCT000165,CUST00050,PRD0019,信托,正常,1834580.71,CNY,2024-06-01,
ACCT000166,CUST00140,PRD0002,理财,正常,4824179.91,CNY,2025-08-30,
ACCT000167,CUST00173,PRD0022,活期,正常,335369.34,CNY,2025-06-16,
ACCT000168,CUST00177,,活期,正常,2326226.45,CNY,2024-02-12,
ACCT000169,CUST00194,PRD0006,定期,正常,1559837.19,CNY,2026-06-01,
ACCT000170,CUST00152,PRD0017,基金,正常,777730.11,CNY,2024-05-25,
ACCT000171,CUST00034,PRD0010,活期,正常,3985252.45,CNY,2026-04-02,
ACCT000172,CUST00136,PRD0005,理财,正常,1936605.75,CNY,2024-01-07,
ACCT000173,CUST00054,PRD0021,基金,正常,3391740.99,CNY,2025-12-10,
ACCT000174,CUST00106,PRD0005,信托,正常,4404744.44,CNY,2024-05-08,
ACCT000175,CUST00168,PRD0022,活期,正常,4536490.15,CNY,2026-03-01,
ACCT000176,CUST00143,PRD0014,信托,正常,-1983528.08,CNY,2025-03-14,
ACCT000177,CUST00127,PRD0023,基金,正常,3559460.76,CNY,2025-07-09,
ACCT000178,CUST00016,PRD0028,活期,正常,2891916.56,CNY,2026-03-13,
ACCT000179,CUST00076,PRD0012,定期,正常,4341196.31,USD,2024-11-29,
ACCT000180,CUST00175,PRD0010,活期,正常,1326000.96,CNY,2026-04-01,
ACCT000181,CUST00024,PRD0001,活期,正常,4114763.31,CNY,2023-09-27,
ACCT000182,CUST00006,PRD0014,活期,正常,1821635.06,CNY,2023-07-27,
ACCT000183,CUST00146,PRD0012,活期,正常,-1500119.13,CNY,2025-08-21,
ACCT000184,CUST00018,PRD0001,信托,正常,3503154.26,CNY,2026-03-24,
ACCT000185,CUST00107,PRD0002,理财,正常,2007255.67,CNY,2026-06-04,
ACCT000186,CUST00016,PRD0018,活期,正常,4749134.94,CNY,2025-09-25,
ACCT000187,CUST00052,PRD0012,基金,正常,1423097.4,CNY,2024-01-23,
ACCT000188,CUST00035,PRD0017,活期,正常,4192204.53,HKD,2025-05-23,
ACCT000189,CUST00052,PRD0025,活期,正常,741902.62,CNY,2024-07-15,
ACCT000190,CUST00043,PRD0008,信托,正常,360404.22,CNY,2024-03-05,
ACCT000191,CUST00165,PRD0012,理财,冻结,4879007.2,CNY,2025-10-27,
ACCT000192,CUST00109,PRD0006,信托,正常,4591551.56,CNY,2024-01-15,
ACCT000193,CUST00154,PRD0007,理财,正常,1138787.7,CNY,2023-10-25,
ACCT000194,CUST00091,PRD0026,信托,正常,1660815.33,CNY,2025-11-08,
ACCT000195,CUST00052,PRD0016,定期,正常,4676021.18,USD,2026-01-07,
ACCT000196,CUST00150,PRD0013,定期,正常,2275366.03,CNY,2025-06-19,2028-05-22
ACCT000197,CUST00192,PRD0029,活期,正常,2682233.31,CNY,2025-04-16,
ACCT000198,CUST00055,PRD0029,理财,冻结,4954483.38,CNY,2025-03-24,
ACCT000199,CUST00149,PRD0029,理财,正常,4265811.39,CNY,2024-08-17,
ACCT000200,CUST00091,PRD0011,基金,正常,3958052.17,CNY,2023-09-01,
ACCT000201,CUST00110,PRD0002,理财,正常,4958001.05,CNY,2024-05-28,
ACCT000202,CUST00101,PRD0024,活期,正常,1347695.12,CNY,2024-12-14,
ACCT000203,CUST00014,PRD0019,理财,正常,1745283.01,CNY,2026-05-17,
ACCT000204,CUST00145,PRD0011,理财,正常,1610887.75,CNY,2023-08-13,
ACCT000205,CUST00047,PRD0026,理财,正常,746301.14,CNY,2023-11-10,
ACCT000206,CUST00180,PRD0024,定期,正常,64498.71,CNY,2024-05-09,
ACCT000207,CUST00044,PRD0011,理财,正常,1915450.11,CNY,2026-05-15,
ACCT000208,CUST00147,PRD0024,基金,冻结,1081097.1,HKD,2024-04-24,
ACCT000209,CUST00054,PRD0015,活期,正常,4903436.23,CNY,2025-09-09,
ACCT000210,CUST00084,PRD0020,活期,正常,1018994.69,CNY,2023-07-25,
ACCT000211,CUST00163,PRD0017,定期,正常,1376622.23,CNY,2024-03-08,
ACCT000212,CUST00007,PRD0023,基金,正常,2360247.63,CNY,2026-02-24,
ACCT000213,CUST00175,PRD0022,基金,冻结,1319383.17,HKD,2025-07-05,
ACCT000214,CUST00198,PRD0001,理财,正常,1387445.28,CNY,2025-03-02,
ACCT000215,CUST00013,PRD0025,理财,正常,781619.38,CNY,2023-10-26,
ACCT000216,CUST00071,PRD0007,活期,正常,4641301.45,CNY,2025-07-29,2027-10-21
ACCT000217,CUST00077,PRD0011,理财,正常,3730002.21,CNY,2026-03-28,
ACCT000218,CUST00055,PRD0003,理财,正常,816877.21,CNY,2025-04-13,
ACCT000219,CUST00035,PRD0011,理财,正常,-471654.1,CNY,2026-01-09,
ACCT000220,CUST00107,PRD0002,基金,正常,-4026606.78,CNY,2024-01-20,
ACCT000221,CUST00079,PRD0024,信托,正常,3629072.07,CNY,2025-11-22,
ACCT000222,CUST00104,PRD0007,活期,冻结,3506087.52,CNY,2025-03-05,
ACCT000223,CUST00104,PRD0025,活期,正常,404397.45,CNY,2024-02-04,
ACCT000224,CUST00172,PRD0008,定期,正常,4933532.53,CNY,2026-02-26,
ACCT000225,CUST00062,PRD0006,活期,正常,4964761.45,CNY,2025-02-08,
ACCT000226,CUST00079,,活期,正常,3879975.45,CNY,2024-07-27,
ACCT000227,CUST00068,PRD0027,活期,正常,1106034.86,CNY,2024-07-02,
ACCT000228,CUST00135,PRD0021,定期,正常,2703192.03,CNY,2026-03-03,
ACCT000229,CUST00069,PRD0025,基金,正常,1238645.55,CNY,2023-07-30,
ACCT000230,CUST00146,PRD0026,基金,正常,4970923.69,CNY,2023-07-12,
ACCT000231,CUST00104,PRD0020,基金,正常,1690798.98,HKD,2024-08-02,
ACCT000232,CUST00027,PRD0007,理财,正常,3690491.3,CNY,2023-07-31,2026-06-17
ACCT000233,CUST00095,PRD0029,定期,销户,55716.48,CNY,2025-04-12,
ACCT000234,CUST00177,PRD0004,理财,正常,1427300.36,CNY,2025-03-23,
ACCT000235,CUST00192,PRD0003,定期,正常,181593.13,USD,2023-11-08,
ACCT000236,CUST00191,PRD0004,活期,正常,1593053.23,CNY,2024-06-04,
ACCT000237,CUST00189,PRD0029,定期,正常,2534170.16,HKD,2024-09-27,
ACCT000238,CUST00107,PRD0013,定期,正常,2422622.67,CNY,2024-10-25,
ACCT000239,CUST00183,PRD0002,基金,正常,2527209.99,CNY,2024-03-31,
ACCT000240,CUST00156,PRD0025,理财,正常,470128.65,HKD,2024-01-10,
ACCT000241,CUST00051,PRD0018,定期,正常,2006178.08,USD,2024-11-14,
ACCT000242,CUST00093,,理财,正常,4617315.96,CNY,2025-11-27,
ACCT000243,CUST00130,PRD0026,活期,正常,-1404373.23,CNY,2026-03-01,
ACCT000244,CUST00012,PRD0011,信托,正常,990493.13,CNY,2023-11-25,
ACCT000245,CUST00037,PRD0011,基金,正常,3535324.07,CNY,2024-11-22,
ACCT000246,CUST00022,PRD0020,理财,正常,3773704.4,CNY,2026-04-01,2028-04-04
ACCT000247,CUST00101,PRD0008,信托,正常,1457893.68,CNY,2023-09-10,
ACCT000248,CUST00166,PRD0007,基金,正常,-1940457.86,CNY,2023-07-08,
ACCT000249,CUST00138,PRD0017,活期,正常,2095128.32,HKD,2025-02-12,
ACCT000250,CUST00167,PRD0002,定期,正常,2601173.51,CNY,2024-12-28,
ACCT000251,CUST00146,PRD0012,理财,正常,3609905.47,CNY,2025-04-21,
ACCT000252,CUST00182,PRD0016,活期,正常,1521264.93,CNY,2024-05-20,
ACCT000253,CUST00126,PRD0006,信托,正常,1716010.81,HKD,2024-03-29,
ACCT000254,CUST00080,PRD0023,理财,正常,3551021.9,CNY,2026-05-19,
ACCT000255,CUST00046,PRD0006,活期,正常,331176.18,CNY,2025-11-22,
ACCT000256,CUST00105,PRD0018,定期,正常,2238495.73,USD,2026-06-13,
ACCT000257,CUST00124,PRD0010,理财,正常,-1938229.11,HKD,2023-10-09,
ACCT000258,CUST00140,PRD0005,基金,正常,1943678.08,USD,2025-07-12,
ACCT000259,CUST00088,PRD0029,定期,正常,4878076.97,CNY,2024-01-01,
ACCT000260,CUST00101,PRD0007,定期,正常,1588259.05,CNY,2024-07-14,
ACCT000261,CUST00197,PRD0011,活期,冻结,446281.91,CNY,2023-10-21,
ACCT000262,CUST00107,PRD0007,活期,销户,4222796.94,CNY,2023-07-20,2025-09-30
ACCT000263,CUST00037,PRD0003,信托,销户,613652.23,CNY,2023-09-03,
ACCT000264,CUST00061,PRD0026,信托,正常,4581586.85,HKD,2023-08-15,
ACCT000265,CUST00009,PRD0029,理财,正常,3171071.61,USD,2025-07-02,
ACCT000266,CUST00137,PRD0002,活期,正常,2604716.26,CNY,2024-11-05,
ACCT000267,CUST00102,PRD0018,理财,正常,1676552.17,CNY,2025-05-07,
ACCT000268,CUST00198,PRD0013,活期,正常,-1256086.42,CNY,2024-11-04,2027-08-02
ACCT000269,CUST00053,PRD0030,理财,正常,3873016.8,CNY,2025-06-10,
ACCT000270,CUST00072,PRD0014,活期,正常,4830951.41,CNY,2024-05-21,
ACCT000271,CUST00009,PRD0010,理财,冻结,1576302.6,CNY,2023-08-02,
ACCT000272,CUST00038,PRD0008,定期,冻结,4500181.56,CNY,2025-12-14,
ACCT000273,CUST00069,PRD0021,理财,正常,2584346.24,CNY,2024-07-26,2026-09-08
ACCT000274,CUST00144,PRD0018,基金,正常,164031.31,CNY,2024-02-01,
ACCT000275,CUST00132,PRD0027,理财,正常,4347271.36,CNY,2024-12-20,
ACCT000276,CUST00177,PRD0028,理财,正常,3185065.05,CNY,2025-10-05,
ACCT000277,CUST00036,,活期,正常,2567412.03,CNY,2025-06-03,
ACCT000278,CUST00069,PRD0017,理财,销户,4787255.63,CNY,2026-06-19,
ACCT000279,CUST00001,PRD0005,信托,正常,4110815.41,CNY,2025-04-09,
ACCT000280,CUST00094,PRD0011,活期,正常,64155.85,HKD,2024-06-28,
ACCT000281,CUST00103,PRD0011,信托,正常,1491030.96,CNY,2025-11-13,
ACCT000282,CUST00024,PRD0025,活期,正常,1507883.37,CNY,2024-07-26,
ACCT000283,CUST00172,,定期,正常,1535315.63,CNY,2025-05-26,
ACCT000284,CUST00094,PRD0003,定期,正常,3455993.5,CNY,2026-04-26,
ACCT000285,CUST00165,PRD0017,信托,正常,3667746.61,CNY,2025-08-10,
ACCT000286,CUST00151,PRD0029,基金,冻结,-2334369.84,CNY,2024-11-04,
ACCT000287,CUST00187,PRD0005,基金,正常,1270871.37,CNY,2026-06-17,
ACCT000288,CUST00018,PRD0014,基金,正常,4354113.22,CNY,2025-04-16,
ACCT000289,CUST00146,PRD0019,活期,正常,773171.44,CNY,2026-06-26,
ACCT000290,CUST00095,PRD0029,活期,冻结,935381.88,CNY,2025-03-22,
ACCT000291,CUST00150,PRD0019,基金,销户,2397115.76,CNY,2023-07-21,
ACCT000292,CUST00001,PRD0006,定期,正常,1131920.34,USD,2024-07-01,
ACCT000293,CUST00187,PRD0019,信托,正常,329269.49,CNY,2025-12-13,
ACCT000294,CUST00188,PRD0028,定期,冻结,4976936.59,CNY,2025-11-16,
ACCT000295,CUST00141,PRD0017,基金,正常,1584440.96,CNY,2024-09-01,
ACCT000296,CUST00120,PRD0030,基金,正常,3802280.85,CNY,2024-04-03,
ACCT000297,CUST00146,PRD0014,定期,正常,1931679.75,CNY,2023-11-21,
ACCT000298,CUST00139,PRD0021,定期,正常,2812816.13,CNY,2024-12-26,
ACCT000299,CUST00040,PRD0009,活期,正常,-3869947.73,CNY,2024-01-30,
ACCT000300,CUST00009,PRD0016,基金,正常,550874.55,CNY,2023-11-25,
